ลำดับ,รหัส อปท.,ชื่ออปท.,ประเภท,อำเภอ,จังหวัด,ภูมิภาค,เว็บไซต์ของเทศบาล
41,04200103,เทศบาลเมืองแสนสุข,เทศบาลเมือง,เมืองชลบุรี,ชลบุรี,ตะวันออก,https://www.saensukcity.go.th/
42,03210102,เทศบาลนครระยอง,เทศบาลนคร,เมืองระยอง,ระยอง,ตะวันออก,https://www.rayongcity.go.th/
43,03130301,เทศบาลนครรังสิต,เทศบาลนคร,ธัญบุรี,ปทุมธานี,กลาง,https://www.rangsit.org/
44,04730601,เทศบาลเมืองไร่ขิง,เทศบาลเมือง,สามพราน,นครปฐม,กลาง,https://www.raikhing.go.th/myhome
45,04201101,เทศบาลเมืองปรกฟ้า,เทศบาลเมือง,เกาะจันทร์,ชลบุรี,ตะวันออก,https://www.prokfa.go.th/
46,04110109,เทศบาลเมืองแพรกษาใหม่,เทศบาลเมือง,เมืองสมุทรปราการ,สมุทรปราการ,กลาง,https://www.preakasamai.go.th/public/
47,04520106,เทศบาลเมืองพิชัย,เทศบาลเมือง,เมืองลำปาง,ลำปาง,เหนือ,https://www.pichaicity.go.th/
48,03830102,เทศบาลนครภูเก็ต,เทศบาลนคร,เมืองภูเก็ต,ภูเก็ต,ใต้,https://www.phuketcity.go.th/new/frontpage
49,04540102,เทศบาลเมืองแพร่,เทศบาลเมือง,เมืองแพร่,แพร่,เหนือ,https://www.phraecity.go.th/frontpage
50,04700701,เทศบาลเมืองโพธาราม,เทศบาลเมือง,โพธาราม,ราชบุรี,ตะวันตก,https://www.photharam.go.th/
51,04660102,เทศบาลเมืองพิจิตร,เทศบาลเมือง,เมืองพิจิตร,พิจิตร,กลาง,https://www.phichitmuni.go.th/home
52,04820102,เทศบาลเมืองพังงา,เทศบาลเมือง,เมืองพังงา,พังงา,ใต้,https://www.phangngacity.go.th/frontpage
53,04140801,เทศบาลเมืองผักไห่,เทศบาลเมือง,ผักไห่,พระนครศรีอยุธยา,กลาง,https://www.phakhai.go.th/
54,04940102,เทศบาลเมืองปัตตานี,เทศบาลเมือง,เมืองปัตตานี,ปัตตานี,ใต้,https://www.pattanicity.go.th/frontpage
55,04830201,เทศบาลเมืองป่าตอง,เทศบาลเมือง,กะทู้,ภูเก็ต,ใต้,https://www.patongcity.go.th/intro_1/
56,04620406,เทศบาลเมืองปางมะค่า,เทศบาลเมือง,ขาณุวรลักษบุรี,กำแพงเพชร,กลาง,https://www.pangmaka.go.th/home
57,04800103,เทศบาลเมืองปากพูน,เทศบาลเมือง,เมืองนครศรีธรรมราช,นครศรีธรรมราช,ใต้,https://www.pakpooncity.go.th/homepage.html
58,04801201,เทศบาลเมืองปากพนัง,เทศบาลเมือง,ปากพนัง,นครศรีธรรมราช,ใต้,https://www.pakphanangtown.go.th/frontpage
59,04302101,เทศบาลเมืองปากช่อง,เทศบาลเมือง,ปากช่อง,นครราชสีมา,ตะวันออกเฉียงเหนือ,https://www.pakchongcity.go.th/main/
60,03740201,เทศบาลนครอ้อมน้อย,เทศบาลนคร,กระทุ่มแบน,สมุทรสาคร,กลาง,https://www.omnoi.go.th/myhome
61,03600102,เทศบาลนครนครสวรรค์,เทศบาลนคร,เมืองนครสวรรค์,นครสวรรค์,กลาง,https://www.nsm.go.th/event_every_year/newmom2021/prateb2024.php
62,04410104,เทศบาลเมืองหนองสำโรง,เทศบาลเมือง,เมืองอุดรธานี,อุดรธานี,ตะวันออกเฉียงเหนือ,https://www.nongsamrong.go.th/event
63,04620109,เทศบาลเมืองหนองปลิง,เทศบาลเมือง,เมืองกำแพงเพชร,กำแพงเพชร,กลาง,https://www.nongplingcitykpp.go.th/home
64,04250217,เทศบาลเมืองหนองกี่,เทศบาลเมือง,กบินทร์บุรี,ปราจีนบุรี,ตะวันออก,https://www.nongkee.go.th/
65,04260102,เทศบาลเมืองนครนายก,เทศบาลเมือง,เมืองนครนายก,นครนายก,กลาง,https://www.nayokcity.go.th/
66,04841201,เทศบาลเมืองนาสาร,เทศบาลเมือง,บ้านนาสาร,สุราษฎร์ธานี,ใต้,https://www.nasancity.go.th/content/board/5
67,04960102,เทศบาลเมืองนราธิวาส,เทศบาลเมือง,เมืองนราธิวาส,นราธิวาส,ใต้,https://www.naracity.go.th/event.php
68,04310401,เทศบาลเมืองนางรอง,เทศบาลเมือง,นางรอง,บุรีรัมย์,ตะวันออกเฉียงเหนือ,https://www.nangrongmuni.go.th/
